race7,hisp,header
1,0,"P0050003"
2,0,"P0050004"
3,0,"P0050005"
4,0,"P0050006"
5,0,"P0050007"
6,0,"P0050008"
7,0,"P0050009"
1,1,"P0050011"
2,1,"P0050012"
3,1,"P0050013"
4,1,"P0050014"
5,1,"P0050015"
6,1,"P0050016"
7,1,"P0050017"
