race7,hisp,header
1,0,"H7Z003_dp"
2,0,"H7Z004_dp"
3,0,"H7Z005_dp"
4,0,"H7Z006_dp"
5,0,"H7Z007_dp"
6,0,"H7Z008_dp"
7,0,"H7Z009_dp"
1,1,"H7Z011_dp"
2,1,"H7Z012_dp"
3,1,"H7Z013_dp"
4,1,"H7Z014_dp"
5,1,"H7Z015_dp"
6,1,"H7Z016_dp"
7,1,"H7Z017_dp"
